container,Match,Container,Pallet,notes,Created TS
00008178101113734939,TRUE,TRUE,TRUE,,3/1/2021 8:09:45 AM
00008178101113735127,FALSE,FALSE,FALSE,,3/1/2021 3:11:53 PM
00008178101113735134,TRUE,TRUE,TRUE,,3/2/2021 5:30:23 AM
00008178101113736056,TRUE,TRUE,TRUE,,3/1/2021 1:30:42 PM
00008178101113736551,TRUE,TRUE,TRUE,,2/27/2021 11:13:26 AM
00008178101113736568,TRUE,TRUE,TRUE,,2/27/2021 12:46:03 PM
00008178101113736582,TRUE,TRUE,TRUE,,2/27/2021 12:47:46 PM
00008178101113737473,TRUE,TRUE,TRUE,,3/2/2021 5:24:24 AM
00008178101113737497,TRUE,TRUE,TRUE,,3/1/2021 3:01:39 PM
00008178101113738050,TRUE,TRUE,TRUE,,3/1/2021 1:22:44 PM
00008178101113738234,TRUE,TRUE,FALSE,,3/1/2021 8:05:30 AM
00008178101113738265,TRUE,TRUE,TRUE,,3/1/2021 11:47:02 AM
00008178101113738289,TRUE,TRUE,TRUE,,3/2/2021 5:25:09 AM
00008178101113738364,TRUE,TRUE,TRUE,,3/1/2021 3:02:34 PM
00008178101113738371,TRUE,TRUE,TRUE,,3/1/2021 11:48:49 AM
00008178101113738838,TRUE,TRUE,TRUE,,2/27/2021 12:42:55 PM
00008178101113738883,TRUE,TRUE,TRUE,,2/27/2021 11:06:16 AM
00008178101113739781,TRUE,TRUE,TRUE,,3/2/2021 8:23:34 AM
00008178101113739859,TRUE,TRUE,TRUE,,3/2/2021 11:10:51 AM
00008178101113740015,TRUE,TRUE,TRUE,,3/2/2021 5:21:49 AM
00008178101113740053,TRUE,TRUE,TRUE,,3/2/2021 5:34:14 AM
00008178101113740367,TRUE,TRUE,TRUE,,3/1/2021 8:13:55 AM
00008178101113740459,TRUE,TRUE,TRUE,,3/1/2021 1:31:38 PM
00008178101113740503,TRUE,TRUE,TRUE,,3/1/2021 11:59:31 AM
00008178101113741494,TRUE,TRUE,TRUE,,2/27/2021 12:53:33 PM
00008178101113741555,TRUE,TRUE,TRUE,,2/27/2021 11:21:05 AM
00008178101113742880,TRUE,TRUE,TRUE,,3/1/2021 8:10:37 AM
00008178101113743481,TRUE,TRUE,TRUE,,3/1/2021 3:09:31 PM
00008178101113743504,TRUE,TRUE,TRUE,,3/1/2021 1:29:18 PM
00008178101113743511,TRUE,TRUE,TRUE,,3/1/2021 11:52:33 AM
00008178101113743559,TRUE,TRUE,TRUE,,3/2/2021 5:28:15 AM
00008178101113743856,TRUE,TRUE,TRUE,,2/27/2021 12:50:04 PM
